Tahun,Provinsi,Nilai Investasi
2012,Sumatera Utara,32000000
2012,Sumatera Utara,25063600000
2012,Sumatera Utara,22986000000
2012,Sumatera Utara,9968400000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,14228700000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,1737800000
2012,Sumatera Utara,0
2012,Sumatera Utara,1120900000
2012,Sumatera Utara,1208182000000
2012,Sumatera Utara,0
2012,Sumatera Utara,631900000
2012,Sumatera Utara,4086300000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,2016000000
2012,Sumatera Utara,0
2012,Sumatera Utara,38982700000
2012,Sumatera Utara,2000000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,15818900000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,61168300000
2012,Sumatera Utara,6964900000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,520261100000
2012,Sumatera Utara,67797900000
2012,Sumatera Utara,7472800000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,191000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,119700000
2012,Sumatera Utara,84823000000
2012,Sumatera Utara,0
2012,Sumatera Utara,7000000000
2012,Sumatera Utara,0
2012,Sumatera Utara,9425400000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2013,Sumatera Utara,86382900000
2013,Sumatera Utara,0
2013,Sumatera Utara,7800000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,135216900000
2013,Sumatera Utara,0
2013,Sumatera Utara,9384700000
2013,Sumatera Utara,737800000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,29992500000
2013,Sumatera Utara,120900000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,3325300000
2013,Sumatera Utara,0
2013,Sumatera Utara,15252400000
2013,Sumatera Utara,573453300000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,3312300000
2013,Sumatera Utara,2039000000
2013,Sumatera Utara,42574900000
2013,Sumatera Utara,17629300000
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,0
2013,Sumatera Utara,60234400000
2013,Sumatera Utara,0
2013,Sumatera Utara,38723600000
2013,Sumatera Utara,41738400000
2013,Sumatera Utara,100000000
2013,Sumatera Utara,8832100000
2013,Sumatera Utara,52878900000
2013,Sumatera Utara,905100000
2013,Sumatera Utara,171270900000
2013,Sumatera Utara,68608000000
2013,Sumatera Utara,0
2013,Sumatera Utara,14524600000
2013,Sumatera Utara,4500000000
2013,Sumatera Utara,0
2013,Sumatera Utara,136067100000
2013,Sumatera Utara,52279000000
2013,Sumatera Utara,9327900000
2013,Sumatera Utara,0
2013,Sumatera Utara,9960300000
2013,Sumatera Utara,30510500000
2013,Sumatera Utara,0
