tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,n_nij,c_cij,s_sij,d_dij,keunggulan_kompetitif,spesialisasi
provinsi,16,,13,2022,2023,18737477524.26,11830691287.16,-23038168811.42,7530000000,0,1
provinsi,16,,14,2022,2023,537736039405.26,-376842393483.89,236156354078.63,397050000000,1,0
provinsi,16,,15,2022,2023,445098860234.26,-288981543565.22,39992683330.96,196110000000,1,0
provinsi,16,,16,2022,2023,126331788113.48,-9716481704.65,-117095306408.83,-480000000,0,0
provinsi,16,,17,2022,2023,140579346546.02,151954564426.99,-238323910973.01,54210000000,0,1
provinsi,16,,1,2023,2024,2974309262165.7,-2580733777387.8,1007244515222.1,1400820000000,1,0
provinsi,16,,2,2023,2024,4229101464245.5,-181224034291.53,-1311917429953.9,2735960000000,0,0
provinsi,16,,3,2023,2024,3363369710846.5,-451207295645.32,68137584798.83,2980300000000,1,0
provinsi,16,,4,2023,2024,22615291579.43,-1502190929.82,16826899350.38,37940000000,1,0
provinsi,16,,5,2023,2024,18720089158.04,-12974990987.4,4804901829.35,10550000000,1,0
provinsi,16,,6,2023,2024,1966815871903.4,731735616102.43,-432711488005.87,2265840000000,0,1
provinsi,16,,7,2023,2024,2118101728762.9,-94138389933.44,1077296661170.5,3101260000000,1,0
provinsi,16,,8,2023,2024,366553073029.76,255985462601.81,-376488535631.57,246050000000,0,1
provinsi,16,,9,2023,2024,302372248258.85,197736650122.86,55191101618.29,555300000000,1,1
provinsi,16,,10,2023,2024,761675737348.74,366226271266.1,189137991385.16,1317040000000,1,1
provinsi,16,,11,2023,2024,414292317937.16,-30695243193.82,188382925256.65,571980000000,1,0
provinsi,16,,12,2023,2024,606594410797.93,-310318941279.09,672694530481.17,968970000000,1,0
provinsi,16,,13,2023,2024,19347126732.71,12361902365.94,-12109029098.64,19600000000,0,1
provinsi,16,,14,2023,2024,564486740714.82,145192352175.91,322100907109.27,1031780000000,1,1
provinsi,16,,15,2023,2024,460462434558.23,-121965201353.03,269882766794.81,608380000000,1,0
provinsi,16,,16,2023,2024,127821046999.87,75262947568.52,-19553994568.39,183530000000,0,1
provinsi,16,,17,2023,2024,145036450558.68,132814742127.78,-160951192686.46,116900000000,0,1
provinsi,16,,1,2024,2025,3074780982069.8,97311113486.3,273887904443.9,3445980000000,1,1
provinsi,16,,2,2024,2025,4410380465274.7,-4974868795319.2,3487348330044.5,2922860000000,1,0
provinsi,16,,3,2024,2025,3549070495005.9,92471823319.13,-510012318325.05,3131530000000,0,1
provinsi,16,,4,2024,2025,24788127015.96,-9900198472.24,18132071456.27,33020000000,1,0
provinsi,16,,5,2024,2025,19441941577.94,-15897176727.02,785235149.08,4330000000,1,0
provinsi,16,,6,2024,2025,2102412850796.5,-548955538838.66,902282688042.15,2455740000000,1,0
provinsi,16,,7,2024,2025,2298262390541.5,146596601678.99,1332061007779.5,3776920000000,1,1
provinsi,16,,8,2024,2025,382725438823.79,268108312621.78,-278013751445.57,372820000000,0,1
provinsi,16,,9,2024,2025,333903484832.9,145271379219.63,145435135947.47,624610000000,1,1
provinsi,16,,10,2024,2025,836881697550.24,516327347239.95,-364419044790.19,988790000000,0,1
provinsi,16,,11,2024,2025,447743933942.27,-104589335992.23,44565402049.96,387720000000,1,0
provinsi,16,,12,2024,2025,662362172791.88,-203092073332.29,539559900540.41,998830000000,1,0
provinsi,16,,13,2024,2025,20542156079.96,15647044845.41,-11879200925.38,24310000000,0,1
provinsi,16,,14,2024,2025,623098816309.39,-157277089302.9,-55161727006.5,410660000000,0,0
provinsi,16,,15,2024,2025,496230299276.98,-16454211203.14,-68376088073.84,411400000000,0,0
provinsi,16,,16,2024,2025,138506215338.39,11573023485.53,5350761176.08,155430000000,1,1
provinsi,16,,17,2024,2025,152444502955.03,140618371259.51,-171812874214.54,121250000000,0,1
provinsi,18,,1,2021,2022,3362671856053,-1830058236154.2,-184813619898.83,1347800000000,0,0
provinsi,18,,2,2021,2022,633104798045.4,-71987782698.71,-1038847015346.7,-477730000000,0,0
provinsi,18,,3,2021,2022,2296304424544.9,-25508060208.88,-2096586364336,174210000000,0,0
provinsi,18,,4,2021,2022,19963338858.64,6703997741.82,-1397336600.47,25270000000,0,1
provinsi,18,,5,2021,2022,13500188113.96,-4674978270.53,1314790156.56,10140000000,1,0
provinsi,18,,6,2021,2022,1252596114841.4,-742611532349.03,466595417507.58,976580000000,1,0
provinsi,18,,7,2021,2022,1512885856539.6,178119139553.05,3023425003907.4,4714430000000,1,1
provinsi,18,,8,2021,2022,616860838190.01,1860616797071.9,55402364738.05,2532880000000,1,1
provinsi,18,,9,2021,2022,169500877685.77,239743665652.4,22915456661.83,432160000000,1,1
provinsi,18,,10,2021,2022,683527169504.9,383926761757.15,-1000903931262.1,66550000000,0,1
provinsi,18,,11,2021,2022,257821039752.65,-157033453564.53,-290987586188.12,-190200000000,0,0
provinsi,18,,12,2021,2022,367411616938.69,-239686026096.8,125944409158.11,253670000000,1,0
provinsi,18,,13,2021,2022,16486872211.15,12749368743.62,29033759045.23,58270000000,1,1
