tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,16,,13,2023,0.0531,"Non Basis",-23038168811.42,"Relatif Tertinggal"
provinsi,16,,14,2023,0.9488,"Non Basis",236156354078.63,"Potensial / Cepat Berkembang"
provinsi,16,,15,2023,0.8176,"Non Basis",39992683330.96,"Potensial / Cepat Berkembang"
provinsi,16,,16,2023,0.4821,"Non Basis",-117095306408.83,"Relatif Tertinggal"
provinsi,16,,17,2023,0.3805,"Non Basis",-238323910973.01,"Relatif Tertinggal"
provinsi,16,,1,2024,1.3264,Basis,1007244515222.1,"Maju dan Tumbuh Cepat"
provinsi,16,,2,2024,2.9166,Basis,-1311917429953.9,"Maju tapi Tertekan"
provinsi,16,,3,2024,0.8561,"Non Basis",68137584798.83,"Potensial / Cepat Berkembang"
provinsi,16,,4,2024,0.1163,"Non Basis",16826899350.38,"Potensial / Cepat Berkembang"
provinsi,16,,5,2024,1.1257,Basis,4804901829.35,"Maju dan Tumbuh Cepat"
provinsi,16,,6,2024,1.0517,Basis,-432711488005.87,"Maju tapi Tertekan"
provinsi,16,,7,2024,0.8628,"Non Basis",1077296661170.5,"Potensial / Cepat Berkembang"
provinsi,16,,8,2024,0.4009,"Non Basis",-376488535631.57,"Relatif Tertinggal"
provinsi,16,,9,2024,0.5082,"Non Basis",55191101618.29,"Potensial / Cepat Berkembang"
provinsi,16,,10,2024,0.6087,"Non Basis",189137991385.16,"Potensial / Cepat Berkembang"
provinsi,16,,11,2024,0.5442,"Non Basis",188382925256.65,"Potensial / Cepat Berkembang"
provinsi,16,,12,2024,1.1872,Basis,672694530481.17,"Maju dan Tumbuh Cepat"
provinsi,16,,13,2024,0.0516,"Non Basis",-12109029098.64,"Relatif Tertinggal"
provinsi,16,,14,2024,0.9756,"Non Basis",322100907109.27,"Potensial / Cepat Berkembang"
provinsi,16,,15,2024,0.8419,"Non Basis",269882766794.81,"Potensial / Cepat Berkembang"
provinsi,16,,16,2024,0.479,"Non Basis",-19553994568.39,"Relatif Tertinggal"
provinsi,16,,17,2024,0.3611,"Non Basis",-160951192686.46,"Relatif Tertinggal"
provinsi,16,,1,2025,1.3298,Basis,273887904443.9,"Maju dan Tumbuh Cepat"
provinsi,16,,2,2025,3.0312,Basis,3487348330044.5,"Maju dan Tumbuh Cepat"
provinsi,16,,3,2025,0.8486,"Non Basis",-510012318325.05,"Relatif Tertinggal"
provinsi,16,,4,2025,0.1204,"Non Basis",18132071456.27,"Potensial / Cepat Berkembang"
provinsi,16,,5,2025,1.1261,Basis,785235149.08,"Maju dan Tumbuh Cepat"
provinsi,16,,6,2025,1.0723,Basis,902282688042.15,"Maju dan Tumbuh Cepat"
provinsi,16,,7,2025,0.8858,"Non Basis",1332061007779.5,"Potensial / Cepat Berkembang"
provinsi,16,,8,2025,0.3864,"Non Basis",-278013751445.57,"Relatif Tertinggal"
provinsi,16,,9,2025,0.518,"Non Basis",145435135947.47,"Potensial / Cepat Berkembang"
provinsi,16,,10,2025,0.5951,"Non Basis",-364419044790.19,"Relatif Tertinggal"
provinsi,16,,11,2025,0.5459,"Non Basis",44565402049.96,"Potensial / Cepat Berkembang"
provinsi,16,,12,2025,1.2332,Basis,539559900540.41,"Maju dan Tumbuh Cepat"
provinsi,16,,13,2025,0.0501,"Non Basis",-11879200925.38,"Relatif Tertinggal"
provinsi,16,,14,2025,0.9697,"Non Basis",-55161727006.5,"Relatif Tertinggal"
provinsi,16,,15,2025,0.8348,"Non Basis",-68376088073.84,"Relatif Tertinggal"
