provinsi_id,sektor_id,tahun,nilai
11,7,2024,23851560000000
11,8,2024,11353140000000
11,9,2024,2282560000000
11,10,2024,6629650000000
11,11,2024,2287200000000
11,12,2024,6323520000000
11,13,2024,970860000000
11,14,2024,13335480000000
11,15,2024,4079450000000
11,16,2024,5114250000000
11,17,2024,2444720000000
11,1,2025,43637580000000
11,2,2025,11599420000000
11,3,2025,6863090000000
11,4,2025,245100000000
11,5,2025,59220000000
11,6,2025,14270790000000
11,7,2025,24919150000000
11,8,2025,12034610000000
11,9,2025,2392420000000
11,10,2025,6753700000000
11,11,2025,2375290000000
11,12,2025,6605690000000
11,13,2025,965860000000
11,14,2025,13674670000000
11,15,2025,4221070000000
11,16,2025,5227620000000
11,17,2025,2495120000000
13,1,2021,38820710000000
13,2,2021,6904550000000
13,3,2021,16628370000000
13,4,2021,175370000000
13,5,2021,177560000000
13,6,2021,16200240000000
13,7,2021,28956930000000
13,8,2021,17998210000000
13,9,2021,1759790000000
13,10,2021,14860130000000
13,11,2021,5244910000000
13,12,2021,3470470000000
13,13,2021,745040000000
13,14,2021,9840450000000
13,15,2021,7368590000000
13,16,2021,2864360000000
13,17,2021,2984220000000
13,1,2022,40188630000000
13,2,2022,7038280000000
13,3,2022,16918570000000
13,4,2022,181010000000
13,5,2022,184520000000
13,6,2022,16607630000000
13,7,2022,30577860000000
13,8,2022,19030280000000
13,9,2022,2037610000000
13,10,2022,15902750000000
13,11,2022,5482850000000
13,12,2022,3671090000000
13,13,2022,799640000000
13,14,2022,9927920000000
13,15,2022,7746600000000
13,16,2022,2994270000000
13,17,2022,3338860000000
13,1,2023,41612830000000
13,2,2023,7365810000000
13,3,2023,17440380000000
13,4,2023,188530000000
13,5,2023,188550000000
13,6,2023,17580380000000
13,7,2023,31987500000000
13,8,2023,20128400000000
13,9,2023,2194620000000
13,10,2023,17117630000000
13,11,2023,5635500000000
13,12,2023,3903010000000
13,13,2023,854690000000
13,14,2023,10162410000000
13,15,2023,7888880000000
13,16,2023,3212560000000
13,17,2023,3607850000000
13,1,2024,42467740000000
13,2,2024,7658030000000
13,3,2024,17894040000000
13,4,2024,196820000000
13,5,2024,194800000000
